2016/11/29,10:32:02,pm1.0=32; pm2.5=46; pm10=65; AQI=63
2016/11/29,10:32:03,pm1.0=31; pm2.5=44; pm10=62; AQI=61
2016/11/29,10:32:04,pm1.0=31; pm2.5=43; pm10=58; AQI=60
2016/11/29,10:32:05,pm1.0=31; pm2.5=43; pm10=59; AQI=60
2016/11/29,10:32:06,pm1.0=32; pm2.5=44; pm10=59; AQI=61
2016/11/29,10:32:08,pm1.0=33; pm2.5=47; pm10=63; AQI=65
2016/11/29,10:32:09,pm1.0=33; pm2.5=47; pm10=63; AQI=65
2016/11/29,10:32:10,pm1.0=34; pm2.5=48; pm10=65; AQI=66
2016/11/29,10:32:11,pm1.0=33; pm2.5=48; pm10=65; AQI=66
2016/11/29,10:32:12,pm1.0=33; pm2.5=48; pm10=66; AQI=66
2016/11/29,10:32:13,pm1.0=33; pm2.5=51; pm10=69; AQI=70
2016/11/29,10:32:14,pm1.0=34; pm2.5=52; pm10=69; AQI=71
2016/11/29,10:32:16,pm1.0=33; pm2.5=51; pm10=66; AQI=70
2016/11/29,10:32:17,pm1.0=33; pm2.5=51; pm10=66; AQI=70
2016/11/29,10:32:18,pm1.0=33; pm2.5=48; pm10=65; AQI=66
2016/11/29,10:32:19,pm1.0=32; pm2.5=48; pm10=65; AQI=66
2016/11/29,10:32:20,pm1.0=32; pm2.5=48; pm10=65; AQI=66
2016/11/29,10:32:21,pm1.0=32; pm2.5=48; pm10=64; AQI=66
2016/11/29,10:32:22,pm1.0=32; pm2.5=47; pm10=63; AQI=65
2016/11/29,10:32:23,pm1.0=32; pm2.5=47; pm10=63; AQI=65
2016/11/29,10:32:24,pm1.0=32; pm2.5=47; pm10=62; AQI=65
2016/11/29,10:32:25,pm1.0=32; pm2.5=47; pm10=62; AQI=65
2016/11/29,10:32:26,pm1.0=32; pm2.5=47; pm10=62; AQI=65
2016/11/29,10:32:27,pm1.0=32; pm2.5=47; pm10=62; AQI=65
2016/11/29,10:32:29,pm1.0=32; pm2.5=47; pm10=65; AQI=65
2016/11/29,10:32:30,pm1.0=33; pm2.5=48; pm10=65; AQI=66
2016/11/29,10:32:31,pm1.0=33; pm2.5=48; pm10=65; AQI=66
2016/11/29,10:32:32,pm1.0=33; pm2.5=48; pm10=65; AQI=66
2016/11/29,10:32:33,pm1.0=33; pm2.5=48; pm10=66; AQI=66
2016/11/29,10:32:34,pm1.0=33; pm2.5=48; pm10=66; AQI=66
2016/11/29,10:32:35,pm1.0=33; pm2.5=48; pm10=66; AQI=66
2016/11/29,10:32:37,pm1.0=33; pm2.5=49; pm10=67; AQI=67
2016/11/29,10:32:38,pm1.0=34; pm2.5=50; pm10=70; AQI=68
2016/11/29,10:32:39,pm1.0=34; pm2.5=50; pm10=70; AQI=68
2016/11/29,10:32:40,pm1.0=34; pm2.5=50; pm10=70; AQI=68
2016/11/29,10:32:41,pm1.0=33; pm2.5=48; pm10=67; AQI=66
2016/11/29,10:32:42,pm1.0=33; pm2.5=48; pm10=67; AQI=66
2016/11/29,10:32:43,pm1.0=32; pm2.5=49; pm10=68; AQI=67
2016/11/29,10:32:44,pm1.0=32; pm2.5=49; pm10=68; AQI=67
2016/11/29,10:32:45,pm1.0=33; pm2.5=49; pm10=68; AQI=67
2016/11/29,10:32:46,pm1.0=33; pm2.5=50; pm10=68; AQI=68
2016/11/29,10:32:47,pm1.0=34; pm2.5=50; pm10=68; AQI=68
2016/11/29,10:32:48,pm1.0=34; pm2.5=50; pm10=68; AQI=68
2016/11/29,10:32:50,pm1.0=35; pm2.5=50; pm10=67; AQI=68
2016/11/29,10:32:51,pm1.0=35; pm2.5=51; pm10=65; AQI=70
2016/11/29,10:32:52,pm1.0=36; pm2.5=50; pm10=65; AQI=68
2016/11/29,10:32:53,pm1.0=35; pm2.5=50; pm10=65; AQI=68
2016/11/29,10:32:54,pm1.0=36; pm2.5=50; pm10=65; AQI=68
2016/11/29,10:32:55,pm1.0=36; pm2.5=50; pm10=64; AQI=68
2016/11/29,10:32:56,pm1.0=36; pm2.5=50; pm10=64; AQI=68
2016/11/29,10:32:58,pm1.0=36; pm2.5=50; pm10=64; AQI=68
2016/11/29,10:32:59,pm1.0=36; pm2.5=50; pm10=64; AQI=68
2016/11/29,10:33:00,pm1.0=36; pm2.5=50; pm10=64; AQI=68
2016/11/29,10:33:01,pm1.0=34; pm2.5=50; pm10=61; AQI=68
2016/11/29,10:33:02,pm1.0=34; pm2.5=50; pm10=61; AQI=68
2016/11/29,10:33:03,pm1.0=34; pm2.5=50; pm10=61; AQI=68
2016/11/29,10:33:05,pm1.0=36; pm2.5=51; pm10=66; AQI=70
2016/11/29,10:33:06,pm1.0=35; pm2.5=51; pm10=66; AQI=70
2016/11/29,10:33:07,pm1.0=36; pm2.5=51; pm10=68; AQI=70
2016/11/29,10:33:08,pm1.0=36; pm2.5=52; pm10=70; AQI=71
2016/11/29,10:33:09,pm1.0=36; pm2.5=52; pm10=70; AQI=71
2016/11/29,10:33:10,pm1.0=36; pm2.5=52; pm10=70; AQI=71
2016/11/29,10:33:11,pm1.0=33; pm2.5=50; pm10=65; AQI=68
2016/11/29,10:33:12,pm1.0=34; pm2.5=50; pm10=65; AQI=68
2016/11/29,10:33:13,pm1.0=34; pm2.5=50; pm10=64; AQI=68
2016/11/29,10:33:14,pm1.0=34; pm2.5=50; pm10=64; AQI=68
2016/11/29,10:33:15,pm1.0=34; pm2.5=50; pm10=64; AQI=68
2016/11/29,10:33:16,pm1.0=34; pm2.5=50; pm10=64; AQI=68
2016/11/29,10:33:17,pm1.0=34; pm2.5=50; pm10=64; AQI=68
2016/11/29,10:33:19,pm1.0=34; pm2.5=50; pm10=62; AQI=68
2016/11/29,10:33:20,pm1.0=34; pm2.5=50; pm10=62; AQI=68
2016/11/29,10:33:21,pm1.0=33; pm2.5=47; pm10=61; AQI=65
2016/11/29,10:33:22,pm1.0=33; pm2.5=47; pm10=61; AQI=65
2016/11/29,10:33:23,pm1.0=33; pm2.5=47; pm10=61; AQI=65
2016/11/29,10:33:24,pm1.0=33; pm2.5=48; pm10=61; AQI=66
2016/11/29,10:33:26,pm1.0=34; pm2.5=49; pm10=62; AQI=67
2016/11/29,10:33:27,pm1.0=35; pm2.5=49; pm10=63; AQI=67
2016/11/29,10:33:28,pm1.0=34; pm2.5=49; pm10=63; AQI=67
2016/11/29,10:33:29,pm1.0=34; pm2.5=49; pm10=63; AQI=67
2016/11/29,10:33:30,pm1.0=35; pm2.5=49; pm10=64; AQI=67
2016/11/29,10:33:31,pm1.0=36; pm2.5=49; pm10=66; AQI=67
2016/11/29,10:33:32,pm1.0=36; pm2.5=49; pm10=67; AQI=67
2016/11/29,10:33:33,pm1.0=35; pm2.5=48; pm10=64; AQI=66
2016/11/29,10:33:34,pm1.0=35; pm2.5=48; pm10=64; AQI=66
2016/11/29,10:33:35,pm1.0=35; pm2.5=48; pm10=64; AQI=66
2016/11/29,10:33:36,pm1.0=35; pm2.5=49; pm10=65; AQI=67
2016/11/29,10:33:37,pm1.0=35; pm2.5=49; pm10=65; AQI=67
2016/11/29,10:33:38,pm1.0=35; pm2.5=49; pm10=65; AQI=67
2016/11/29,10:33:40,pm1.0=35; pm2.5=49; pm10=67; AQI=67
2016/11/29,10:33:41,pm1.0=35; pm2.5=49; pm10=67; AQI=67
2016/11/29,10:33:42,pm1.0=35; pm2.5=49; pm10=67; AQI=67
2016/11/29,10:33:43,pm1.0=35; pm2.5=49; pm10=67; AQI=67
2016/11/29,10:33:44,pm1.0=35; pm2.5=49; pm10=67; AQI=67
2016/11/29,10:33:45,pm1.0=35; pm2.5=49; pm10=67; AQI=67
2016/11/29,10:33:47,pm1.0=35; pm2.5=49; pm10=67; AQI=67
2016/11/29,10:33:48,pm1.0=35; pm2.5=49; pm10=67; AQI=67
2016/11/29,10:33:49,pm1.0=35; pm2.5=49; pm10=68; AQI=67
2016/11/29,10:33:50,pm1.0=35; pm2.5=49; pm10=68; AQI=67
2016/11/29,10:33:51,pm1.0=35; pm2.5=49; pm10=68; AQI=67
2016/11/29,10:33:52,pm1.0=35; pm2.5=49; pm10=66; AQI=67
2016/11/29,10:33:53,pm1.0=35; pm2.5=49; pm10=66; AQI=67
2016/11/29,10:33:54,pm1.0=35; pm2.5=49; pm10=67; AQI=67
2016/11/29,10:33:55,pm1.0=35; pm2.5=49; pm10=67; AQI=67
2016/11/29,10:33:56,pm1.0=34; pm2.5=49; pm10=65; AQI=67
2016/11/29,10:33:57,pm1.0=34; pm2.5=49; pm10=65; AQI=67
2016/11/29,10:33:58,pm1.0=34; pm2.5=49; pm10=65; AQI=67
2016/11/29,10:34:00,pm1.0=35; pm2.5=50; pm10=66; AQI=68
2016/11/29,10:34:01,pm1.0=35; pm2.5=50; pm10=66; AQI=68
2016/11/29,10:34:02,pm1.0=35; pm2.5=50; pm10=66; AQI=68
2016/11/29,10:34:03,pm1.0=35; pm2.5=51; pm10=68; AQI=70
2016/11/29,10:34:04,pm1.0=35; pm2.5=52; pm10=68; AQI=71
2016/11/29,10:34:05,pm1.0=34; pm2.5=51; pm10=66; AQI=70
2016/11/29,10:34:07,pm1.0=33; pm2.5=51; pm10=64; AQI=70
2016/11/29,10:34:08,pm1.0=33; pm2.5=50; pm10=64; AQI=68
2016/11/29,10:34:09,pm1.0=33; pm2.5=50; pm10=64; AQI=68
2016/11/29,10:34:10,pm1.0=34; pm2.5=50; pm10=63; AQI=68
2016/11/29,10:34:11,pm1.0=33; pm2.5=50; pm10=63; AQI=68
2016/11/29,10:34:12,pm1.0=33; pm2.5=49; pm10=60; AQI=67
2016/11/29,10:34:13,pm1.0=33; pm2.5=49; pm10=60; AQI=67
2016/11/29,10:34:14,pm1.0=33; pm2.5=50; pm10=60; AQI=68
2016/11/29,10:34:15,pm1.0=34; pm2.5=50; pm10=62; AQI=68
2016/11/29,10:34:16,pm1.0=34; pm2.5=50; pm10=61; AQI=68
2016/11/29,10:34:17,pm1.0=33; pm2.5=50; pm10=61; AQI=68
2016/11/29,10:34:18,pm1.0=33; pm2.5=50; pm10=62; AQI=68
2016/11/29,10:34:19,pm1.0=34; pm2.5=50; pm10=62; AQI=68
2016/11/29,10:34:20,pm1.0=33; pm2.5=50; pm10=61; AQI=68
2016/11/29,10:34:22,pm1.0=33; pm2.5=49; pm10=60; AQI=67
2016/11/29,10:34:23,pm1.0=33; pm2.5=49; pm10=61; AQI=67
2016/11/29,10:34:24,pm1.0=33; pm2.5=49; pm10=60; AQI=67
2016/11/29,10:34:25,pm1.0=33; pm2.5=49; pm10=60; AQI=67
2016/11/29,10:34:26,pm1.0=33; pm2.5=49; pm10=60; AQI=67
2016/11/29,10:34:27,pm1.0=33; pm2.5=50; pm10=63; AQI=68
2016/11/29,10:34:29,pm1.0=34; pm2.5=50; pm10=64; AQI=68
2016/11/29,10:34:30,pm1.0=34; pm2.5=50; pm10=64; AQI=68
2016/11/29,10:34:31,pm1.0=34; pm2.5=50; pm10=63; AQI=68
2016/11/29,10:34:32,pm1.0=34; pm2.5=50; pm10=63; AQI=68
2016/11/29,10:34:33,pm1.0=34; pm2.5=50; pm10=63; AQI=68
2016/11/29,10:34:34,pm1.0=34; pm2.5=50; pm10=64; AQI=68
2016/11/29,10:34:35,pm1.0=34; pm2.5=50; pm10=64; AQI=68
2016/11/29,10:34:36,pm1.0=34; pm2.5=49; pm10=63; AQI=67
2016/11/29,10:34:37,pm1.0=34; pm2.5=49; pm10=63; AQI=67
2016/11/29,10:34:38,pm1.0=34; pm2.5=49; pm10=63; AQI=67
2016/11/29,10:34:39,pm1.0=35; pm2.5=50; pm10=66; AQI=68
2016/11/29,10:34:40,pm1.0=35; pm2.5=50; pm10=66; AQI=68
2016/11/29,10:34:41,pm1.0=35; pm2.5=51; pm10=67; AQI=70
2016/11/29,10:34:43,pm1.0=35; pm2.5=50; pm10=62; AQI=68
2016/11/29,10:34:44,pm1.0=34; pm2.5=50; pm10=62; AQI=68
2016/11/29,10:34:45,pm1.0=32; pm2.5=49; pm10=63; AQI=67
2016/11/29,10:34:46,pm1.0=32; pm2.5=49; pm10=63; AQI=67
2016/11/29,10:34:47,pm1.0=34; pm2.5=51; pm10=64; AQI=70
2016/11/29,10:34:48,pm1.0=31; pm2.5=49; pm10=63; AQI=67
2016/11/29,10:34:50,pm1.0=33; pm2.5=50; pm10=65; AQI=68
2016/11/29,10:34:51,pm1.0=33; pm2.5=50; pm10=65; AQI=68
2016/11/29,10:34:52,pm1.0=32; pm2.5=51; pm10=66; AQI=70
2016/11/29,10:34:53,pm1.0=32; pm2.5=51; pm10=66; AQI=70
2016/11/29,10:34:54,pm1.0=32; pm2.5=51; pm10=66; AQI=70
2016/11/29,10:34:55,pm1.0=33; pm2.5=51; pm10=68; AQI=70
2016/11/29,10:34:56,pm1.0=33; pm2.5=51; pm10=69; AQI=70
2016/11/29,10:34:57,pm1.0=32; pm2.5=51; pm10=69; AQI=70
2016/11/29,10:34:58,pm1.0=32; pm2.5=51; pm10=69; AQI=70
2016/11/29,10:34:59,pm1.0=34; pm2.5=52; pm10=70; AQI=71
2016/11/29,10:35:00,pm1.0=34; pm2.5=52; pm10=70; AQI=71
2016/11/29,10:35:01,pm1.0=34; pm2.5=52; pm10=70; AQI=71
2016/11/29,10:35:02,pm1.0=34; pm2.5=51; pm10=69; AQI=70
2016/11/29,10:35:04,pm1.0=35; pm2.5=52; pm10=69; AQI=71
2016/11/29,10:35:05,pm1.0=35; pm2.5=52; pm10=68; AQI=71
2016/11/29,10:35:06,pm1.0=34; pm2.5=51; pm10=68; AQI=70
2016/11/29,10:35:07,pm1.0=34; pm2.5=51; pm10=68; AQI=70
2016/11/29,10:35:08,pm1.0=35; pm2.5=51; pm10=68; AQI=70
2016/11/29,10:35:09,pm1.0=35; pm2.5=50; pm10=68; AQI=68
2016/11/29,10:35:11,pm1.0=34; pm2.5=49; pm10=64; AQI=67
2016/11/29,10:35:12,pm1.0=32; pm2.5=49; pm10=65; AQI=67
2016/11/29,10:35:13,pm1.0=33; pm2.5=50; pm10=66; AQI=68
2016/11/29,10:35:14,pm1.0=33; pm2.5=50; pm10=66; AQI=68
2016/11/29,10:35:15,pm1.0=33; pm2.5=50; pm10=66; AQI=68
2016/11/29,10:35:16,pm1.0=32; pm2.5=49; pm10=65; AQI=67
2016/11/29,10:35:17,pm1.0=32; pm2.5=49; pm10=64; AQI=67
2016/11/29,10:35:18,pm1.0=32; pm2.5=50; pm10=64; AQI=68
2016/11/29,10:35:19,pm1.0=32; pm2.5=50; pm10=64; AQI=68
2016/11/29,10:35:20,pm1.0=32; pm2.5=50; pm10=62; AQI=68
2016/11/29,10:35:21,pm1.0=32; pm2.5=48; pm10=62; AQI=66
2016/11/29,10:35:22,pm1.0=32; pm2.5=48; pm10=63; AQI=66
2016/11/29,10:35:23,pm1.0=32; pm2.5=48; pm10=62; AQI=66
2016/11/29,10:35:25,pm1.0=35; pm2.5=48; pm10=63; AQI=66
2016/11/29,10:35:26,pm1.0=35; pm2.5=47; pm10=63; AQI=65
2016/11/29,10:35:27,pm1.0=35; pm2.5=47; pm10=62; AQI=65
2016/11/29,10:35:28,pm1.0=35; pm2.5=47; pm10=62; AQI=65
2016/11/29,10:35:29,pm1.0=35; pm2.5=47; pm10=62; AQI=65
2016/11/29,10:35:30,pm1.0=35; pm2.5=48; pm10=62; AQI=66
2016/11/29,10:35:32,pm1.0=35; pm2.5=49; pm10=63; AQI=67
2016/11/29,10:35:33,pm1.0=35; pm2.5=49; pm10=63; AQI=67
2016/11/29,10:35:34,pm1.0=35; pm2.5=49; pm10=63; AQI=67
2016/11/29,10:35:35,pm1.0=35; pm2.5=48; pm10=62; AQI=66
2016/11/29,10:35:36,pm1.0=35; pm2.5=49; pm10=62; AQI=67
2016/11/29,10:35:37,pm1.0=35; pm2.5=49; pm10=62; AQI=67
2016/11/29,10:35:38,pm1.0=32; pm2.5=48; pm10=58; AQI=66
2016/11/29,10:35:39,pm1.0=32; pm2.5=49; pm10=61; AQI=67
2016/11/29,10:35:40,pm1.0=32; pm2.5=49; pm10=61; AQI=67
2016/11/29,10:35:41,pm1.0=32; pm2.5=49; pm10=61; AQI=67
2016/11/29,10:35:42,pm1.0=33; pm2.5=49; pm10=59; AQI=67
2016/11/29,10:35:43,pm1.0=33; pm2.5=49; pm10=59; AQI=67
2016/11/29,10:35:44,pm1.0=33; pm2.5=49; pm10=59; AQI=67
2016/11/29,10:35:46,pm1.0=33; pm2.5=49; pm10=59; AQI=67
2016/11/29,10:35:47,pm1.0=35; pm2.5=49; pm10=60; AQI=67
2016/11/29,10:35:48,pm1.0=34; pm2.5=49; pm10=60; AQI=67
2016/11/29,10:35:49,pm1.0=34; pm2.5=49; pm10=60; AQI=67
2016/11/29,10:35:50,pm1.0=34; pm2.5=50; pm10=63; AQI=68
2016/11/29,10:35:51,pm1.0=34; pm2.5=50; pm10=63; AQI=68
2016/11/29,10:35:53,pm1.0=34; pm2.5=50; pm10=63; AQI=68
2016/11/29,10:35:54,pm1.0=35; pm2.5=50; pm10=63; AQI=68
2016/11/29,10:35:55,pm1.0=35; pm2.5=49; pm10=63; AQI=67
2016/11/29,10:35:56,pm1.0=35; pm2.5=49; pm10=63; AQI=67
2016/11/29,10:35:57,pm1.0=35; pm2.5=49; pm10=63; AQI=67
